date,nom,email,pwd,adresse,achat,etat
10/05/2026,Voahangy Client un,client1@mail.com,Kx9aEZQX,"Ankorondrano, Antananarivo","[(""P_05"";4;""""),(""P_30"";2;""""),(""P_16"";2;""Bleu"")]",paiement accepté
10/05/2026,Aina Client huit,client8@mail.com,sp8Jz53f,"Ivandry, Antananarivo","[(""P_18"";4;""""),(""P_03"";4;""Noir""),(""P_17"";4;""""),(""P_30"";4;""""),(""P_08"";1;"""")]",paiement accepté
10/05/2026,Hery Client quinze,client15@mail.com,pOUw3dJU,"Ambatoroka, Antananarivo","[(""P_04"";4;""M""),(""P_13"";3;""Bleu"")]",paiement accepté
10/05/2026,Hery Client vingtdeux,client22@mail.com,aIlNPjCA,"Analakely, Antananarivo","[(""P_02"";2;""M""),(""P_29"";1;""""),(""P_09"";4;""Max""),(""P_06"";3;""XL""),(""P_22"";3;""M"")]",paiement accepté
10/05/2026,Aina Client vingtneuf,client29@mail.com,OYnip7hY,"Mahamasina, Antananarivo","[(""P_23"";3;""""),(""P_11"";3;""L""),(""P_14"";1;""""),(""P_10"";4;""128GB""),(""P_01"";4;""128GB"")]",paiement accepté
10/05/2026,Fanja Client trentesix,client36@mail.com,0bLEaXzx,"Analakely, Antananarivo","[(""P_04"";1;""XL""),(""P_11"";3;""S"")]",
10/05/2026,Rabe Client quarantetrois,client43@mail.com,VgJS9M4A,"Ambatoroka, Antananarivo","[(""P_05"";2;"""")]",livré
10/05/2026,Rabe Client cinquante,client50@mail.com,5JbbWjql,"67Ha, Antananarivo","[(""P_23"";1;""""),(""P_27"";1;""""),(""P_18"";2;""""),(""P_23"";4;""""),(""P_19"";4;"""")]",
10/05/2026,Rabe Client cinquantesept,client57@mail.com,Mu0q7fld,"67Ha, Antananarivo","[(""P_29"";2;"""")]",paiement accepté
10/05/2026,Aina Client soixantequatre,client64@mail.com,8mASGTzk,"Mahamasina, Antananarivo","[(""P_09"";3;""Max"")]",paiement accepté
10/05/2026,Fitia Client soixante et onze,client71@mail.com,KXanDZOr,"Analakely, Antananarivo","[(""P_24"";3;""XL""),(""P_25"";1;""32GB""),(""P_29"";3;""""),(""P_15"";1;""Pro""),(""P_26"";4;""M"")]",
